branch	class	ahead	behind	last_commit	open_pr	unique_patchids_not_upstream	unique_patchids_not_upstream_or_main	in_main	unique_commits	unique_nonmerge_commits	empty_diff_commits	name_issue	name_issue_seen_upstream	tip_sha	tip_subject
fix/3374-param-numeric	1-MERGED-ANCESTRY	0	577	2026-09-02	0	0	0	0	0	0	0	3374	1	53b094456	fix(mcp): refuse numeric and boolean parameter shapes that contradict the schema (#3374)
fix/3378-tools-list-capabilities-pointer	1-MERGED-ANCESTRY	0	175	2026-09-09	0	0	0	0	0	0	0	3378	1	65e2c2f64	fix(mcp): keep capabilities gist plus verbose pointer (#3378)
fix/3378-tools-list-compact-description	1-MERGED-ANCESTRY	0	185	2026-09-09	0	0	0	0	0	0	0	3378	1	9b1b07bdc	fix(mcp): extend compact_description past dangling 32-byte cuts (#3378)
fix/3378-tools-list-enum-wire	1-MERGED-ANCESTRY	0	179	2026-09-09	0	0	0	0	0	0	0	3378	1	eea3d0035	fix(mcp): advertise closed tools/list enums and strip trailing compact punct (#3378)
fix/3380-tests-followup	1-MERGED-ANCESTRY	0	208	2026-09-09	0	0	0	0	0	0	0	3380	1	af08493f5	test(consolidate): align provenance fixtures with source admission (#3380)
fix/3381-auto-tag-owner-gate-v2	1-MERGED-ANCESTRY	0	241	2026-09-09	0	0	0	0	0	0	0	3381	1	41acc0639	test(auto-tag): isolate caller seam regressions under #3523
fix/3382-archive-read-owner-scope-v2	1-MERGED-ANCESTRY	0	243	2026-09-09	0	0	0	0	0	0	0	3382	1	92e90cc19	fix(archive): enforce caller visibility and restore ownership (#3382)
fix/3383-archive-purge-admin-gate-v2	1-MERGED-ANCESTRY	0	243	2026-09-09	0	0	0	0	0	0	0	3383	1	68f67b344	fix(archive): check MCP admin purge and scope caller GC (#3383)
fix/3384-bounded-duration-arithmetic	1-MERGED-ANCESTRY	0	552	2026-09-03	0	0	0	0	0	0	0	3384	1	e683ebee0	fix: preserve calibration zero-window contract
fix/3385-archive-on-gc-v2-key	1-MERGED-ANCESTRY	0	425	2026-09-05	0	0	0	0	0	0	0	3385	1	385a01fd9	fix(#3385): make [storage].archive_on_gc govern GC, not just parse
fix/3386-kg-query-visibility-f1	1-MERGED-ANCESTRY	0	239	2026-09-09	0	0	0	0	0	0	0	3386	1	1f656409e	fix(mcp): apply kg query visibility filters on both paths (#3386)
fix/3388-pending-reject-gate	1-MERGED-ANCESTRY	0	601	2026-09-01	0	0	0	0	0	0	0	3388	1	a70c32a7c	fix(governance): require the same approver eligibility to reject a pending action as to approve one 
fix/3394-remember-truthfulness	1-MERGED-ANCESTRY	0	173	2026-09-10	0	0	0	0	0	0	0	3394	1	5616391f4	fix(approvals): refuse remember=forever that cannot be honoured (#3394)
fix/3397-grok	1-MERGED-ANCESTRY	0	239	2026-09-09	0	0	0	0	0	0	0	3397	1	7b25a0f28	docs(mcp): truth-fix quality-family tool docs (#3397)
fix/3398-agents-post-gate-v2	1-MERGED-ANCESTRY	0	452	2026-09-04	0	0	0	0	0	0	0	3398	1	dfc5abfb0	fix(http): enforce attested roster identity and verify both backends (#3398)
fix/3401-inbox-namespace-v98	1-MERGED-ANCESTRY	0	446	2026-09-04	0	0	0	0	0	0	0	3401	1	0f9777827	test(migrations): advance remaining schema tip pins to v98 (#3401)
fix/3402-cli-store-funnel	1-MERGED-ANCESTRY	0	603	2026-09-01	0	0	0	0	0	0	0	3402	1	db6b86efd	fix(cli): route `ai-memory store` through the shared auto_atomise funnel (#3402)
fix/3403-cli-event-dispatch	1-MERGED-ANCESTRY	0	602	2026-09-01	0	0	0	0	0	0	0	3403	1	d26dba5e1	fix(cli): dispatch subscription events from every CLI write verb (#3403)
fix/3405-export-roundtrip	1-MERGED-ANCESTRY	0	603	2026-09-02	0	0	0	0	0	0	0	3405	1	e13daee62	fix(portability): export never emits a link to a memory it withheld; import reports dangling edges w
fix/3406-capture-turn-attestation-posture	1-MERGED-ANCESTRY	0	243	2026-09-09	0	0	0	0	0	0	0	3406	1	6c226ee89	fix(http): enforce caller-bound capture attestation posture (#3406)
fix/3411-3434-boot-doctor-readonly	1-MERGED-ANCESTRY	0	167	2026-09-10	0	0	0	0	0	0	0	3411	1	6b6683829	fix(cli): typed SCHEMA_BEHIND_READ_ONLY_REFUSAL on boot/doctor (#3411, #3434)
fix/3411-3434-boot-doctor-readonly-followup	1-MERGED-ANCESTRY	0	156	2026-09-10	0	0	0	0	0	0	0	3411	1	510f0abbe	test(cli): re-pin boot --quiet missing-db to empty stdout (#3411)
fix/3413-cli-malformed-since-until	1-MERGED-ANCESTRY	0	154	2026-09-10	0	0	0	0	0	0	0	3413	1	56116f36d	fix(cli): refuse malformed list --since/--until and recover --host/--transcript (#3413)
fix/3414-cli-ux-exit-codes	1-MERGED-ANCESTRY	0	150	2026-09-10	0	0	0	0	0	0	0	3414	1	6786c6645	fix(cli): refuse missing archive restore; map MCP errors to CLI flags (#3414)
fix/3416-grok	1-MERGED-ANCESTRY	0	239	2026-09-09	0	0	0	0	0	0	0	3416	1	5d4c17fb7	docs(http): truth-fix API_REFERENCE HTTP sweep (#3416)
fix/3418-agent-key-hot-enroll	1-MERGED-ANCESTRY	0	517	2026-09-03	0	0	0	0	0	0	0	3418	1	a4272444e	fix(identity): carry the EnrolledAgentKeys fixture change onto post-base tests + document the refres
fix/3419-attested-write-replay-guard	1-MERGED-ANCESTRY	0	563	2026-09-02	0	0	0	0	0	0	0	3419	1	e03bbbd51	fix(attest): admit a signed direct write exactly once (schema v95 replay ledger) (#3419)
fix/3419-docs-v95-rung	1-MERGED-ANCESTRY	0	546	2026-09-02	0	0	0	0	0	0	0	3419	1	8c200e9a5	docs(schema): add the v95 attested_write_ledger rung row (#3419)
fix/3419-record-stop-admit-gate	1-MERGED-ANCESTRY	0	535	2026-09-03	0	0	0	0	0	0	0	3419	1	4699def47	fix(record-stop): gate admit_attested_write on both backends (#3481)
fix/3421-import-attestation-reconcile	1-MERGED-ANCESTRY	0	575	2026-09-02	0	0	0	0	0	0	0	3421	1	2da0daf0e	fix(import): never land a wire-asserted attestation POST /api/v1/import cannot verify (#3421)
fix/3422-pg-created-at-roundtrip	1-MERGED-ANCESTRY	0	603	2026-09-02	0	0	0	0	0	0	0	3422	1	961bea1eb	fix(attestation): canonicalise the attested created_at so a write_signature re-derives on both backe
fix/3424-pg-wire-shape-batch2-v2	1-MERGED-ANCESTRY	0	447	2026-09-04	0	0	0	0	0	0	0	3424	1	00eb1661e	fix(wire): share KG and duplicate response projections (#3424)
fix/3428-api-reference-memory-graph	1-MERGED-ANCESTRY	0	188	2026-09-09	0	0	0	0	0	0	0	3428	1	5d7ce5d0b	docs(http): truth-fix API_REFERENCE memory/graph sweep (#3428)
fix/3429-audit-db-path	1-MERGED-ANCESTRY	0	603	2026-09-01	0	0	0	0	0	0	0	3429	1	8c381e0da	fix(cli): audit verbs honour the resolved --db for reads and writes (#3429)
fix/3430-seed-rules-signed-enable	1-MERGED-ANCESTRY	0	603	2026-09-02	0	0	0	0	0	0	0	3430	1	b92d9a0aa	fix(governance): install-defaults enables seed rules through the signed path (#3430)
fix/3431-store-url-explicit	1-MERGED-ANCESTRY	0	535	2026-09-03	0	0	0	0	0	0	0	3431	1	d8a5aa59d	fix(cli): bind one store from parser explicitness, not the resolved --db path (#3431)
fix/3432-config-migrate-redact	1-MERGED-ANCESTRY	0	551	2026-09-02	0	0	0	0	0	0	0	3432	1	0acb39931	fix(cli): derive Debug on the #3432 amendment-2 test fixture
fix/3433-cli-notify-subscribe-agent-id	1-MERGED-ANCESTRY	0	144	2026-09-10	0	0	0	0	0	0	0	3433	1	12acfc1a3	fix(cli): honor global --agent-id on notify/subscribe/inbox (#3433)
fix/3436-cli-stdout-hygiene	1-MERGED-ANCESTRY	0	577	2026-09-02	0	0	0	0	0	0	0	3436	1	0c219bc65	test(cli): behavioural half of the #3436 hygiene gates — drive the binary (#3436)
fix/3440-rubric-repair	1-MERGED-ANCESTRY	0	601	2026-09-02	0	0	0	0	0	0	0	3440	1	ef5c9bac8	fix(swarm-harness): repair rubric packaging defects and derive mission progress from the call log (#
fix/3441-module-local-choreo	1-MERGED-ANCESTRY	0	600	2026-09-02	0	0	0	0	0	0	0	3441	1	821852ba4	test(swarm-harness): make the offline module mock reject cross-tier consolidate (#3441)
fix/3446-cid-created-at-canonical	1-MERGED-ANCESTRY	0	602	2026-09-02	0	0	0	0	0	0	0	3446	1	2ac5f6108	fix(cid): commit the created_at INSTANT, not its per-backend rendering, in the cid pre-image (#3446)
fix/3448-reject-surfaces-gate	1-MERGED-ANCESTRY	0	546	2026-09-02	0	0	0	0	0	0	0	3448	1	28c7a60ba	fix(governance): gate the HTTP and CLI pending-reject surfaces on approver eligibility, with a SAL p
fix/3456-import-sqlite-governance-parity	1-MERGED-ANCESTRY	0	565	2026-09-02	0	0	0	0	0	0	0	3456	1	04754f0bd	fix(import): enforce namespace governance on the sqlite import lane (#3456)
fix/3457-cli-sync-attestation-reconcile	1-MERGED-ANCESTRY	0	565	2026-09-02	0	0	0	0	0	0	0	3457	1	efb51da1d	fix(sync): reconcile inbound attestation on the cli sync pull/merge legs (#3457)
fix/3461-macos-watchdog	1-MERGED-ANCESTRY	0	565	2026-09-02	0	0	0	0	0	0	0	3461	1	a4c224275	ci(watchdog): make the #1492 per-invocation budget node-aware (macos-fed sqlite 2400s), declare line
fix/3463-inbox-unread-limit	1-MERGED-ANCESTRY	0	553	2026-09-02	0	0	0	0	0	0	0	3463	1	e3f80b8a1	fix(inbox): apply unread_only inside the query, before the SQL LIMIT (#3463)
fix/3464-pop-v97	1-MERGED-ANCESTRY	0	454	2026-09-04	0	0	0	0	0	0	0	3464	1	a6bd9ec65	fix(identity): bind public keys to established trust with schema v97 (#3464)
fix/3465-agent-notified-push	1-MERGED-ANCESTRY	0	425	2026-09-05	0	0	0	0	0	0	0	3465	1	0485e0778	feat(notify): agent_notified write event, in-process wake bus and GET /api/v1/inbox/stream (#3465)
fix/3467-wake-hub-core	1-MERGED-ANCESTRY	0	535	2026-09-03	0	0	0	0	0	0	0	3467	1	4ec119b27	feat(wake-hub): same-host content-free agent wake plane over a 0600 UDS (#3467)
fix/3468-wake-hub-identity-v2	1-MERGED-ANCESTRY	0	447	2026-09-04	0	0	0	0	0	0	0	3468	1	107b314a1	fix(wake-hub): bind scoped delegations to v97 identity (#3468)
fix/3469-wake-hub-bus-sink	1-MERGED-ANCESTRY	0	408	2026-09-05	0	0	0	0	0	0	0	3469	1	c524fc963	fix(#3469): make the operator ceremony real — `identity hub-cache --daemon-producer` publishes the p
fix/3470-wake-listen-client	1-MERGED-ANCESTRY	0	401	2026-09-05	0	0	0	0	0	0	0	3470	1	0e7fc38ff	fix(#3470): route the --exec wake hook through the #1937 spawn-audit chokepoint
fix/3471-wake-hub-ops	1-MERGED-ANCESTRY	0	392	2026-09-06	0	0	0	0	0	0	0	3471	1	c59b4c564	fix(#3471): close the inode-recycling unlink race, and make the census race deterministic
fix/3472-wake-hub-cert-ssot	1-MERGED-ANCESTRY	0	276	2026-09-08	0	0	0	0	0	0	0	3472	1	50bad24c3	docs(cert): §6 NOT-COVERED entry for the wake plane + a removal-proof row that proves the hub is rem
fix/3473-wake-latency-harness	1-MERGED-ANCESTRY	0	274	2026-09-08	0	0	0	0	0	0	0	3473	1	1b4b9e38e	fix(bench): #3473 drop the impossible schema-init step; register the wake module before exec
fix/3474-api-key-admin-route	1-MERGED-ANCESTRY	0	357	2026-09-06	0	0	0	0	0	0	0	3474	1	719c5ecaa	docs(#3474): route/path SSOT re-derived on baf6313f + the two api-key endpoints
fix/3475-lib-test-env-isolation	1-MERGED-ANCESTRY	0	553	2026-09-02	0	0	0	0	0	0	0	3475	1	04e8ac604	fix(tests): confine AI_MEMORY_AGENT_ID installs to their own test binary (#3475)
fix/3496-coverage-floor	1-MERGED-ANCESTRY	0	461	2026-09-04	0	0	0	0	0	0	0	3496	1	7fe0c231a	test: restore coverage floors (#3496)
fix/3497-ci-atomise-env	1-MERGED-ANCESTRY	0	459	2026-09-04	0	0	0	0	0	0	0	3497	1	1d523a04d	test: isolate atomise curator construction (#3497)
fix/3498-followup-anchor-contracts	1-MERGED-ANCESTRY	0	235	2026-09-09	0	0	0	0	0	0	0	3498	1	b304e7fab	fix(security): restore explicit graph anchor contracts (#3498)
fix/3498-graph-read-funnels-substrate-visibility	1-MERGED-ANCESTRY	0	243	2026-09-09	0	0	0	0	0	0	0	3498	1	13a3af5f3	fix: enforce substrate visibility in graph read funnels (#3498)
fix/3499-as-agent-read-confinement	1-MERGED-ANCESTRY	0	239	2026-09-09	0	0	0	0	0	0	0	3499	1	877cdbde4	fix(reads): confine as_agent to caller-bound scope narrowing (#3499)
fix/3503-ci-impact-security-suites	1-MERGED-ANCESTRY	0	447	2026-09-04	0	0	0	0	0	0	0	3503	1	c60720a31	fix(ci): retain full security suites in impact selection (#3503)
fix/3504-allowlist-cache-refresh	1-MERGED-ANCESTRY	0	392	2026-09-05	0	0	0	0	0	0	0	3504	1	3601c5330	feat(#3504): reuse the wake-hub allowlist snapshot by inode/mtime, and ship the refresher
fix/3505-topic-read-scopes	1-MERGED-ANCESTRY	0	390	2026-09-05	0	0	0	0	0	0	0	3505	1	1287e9244	feat(#3505): gate topic SENDS, and carry proven read PREFIXES not an expanded list
fix/3506-routine-run-caller-authorization	1-MERGED-ANCESTRY	0	239	2026-09-09	0	0	0	0	0	0	0	3506	1	118ae78cd	fix(routines): admit the owner before run side effects (#3506)
fix/3507-calibrate-confidence-caller-gate	1-MERGED-ANCESTRY	0	346	2026-09-07	0	0	0	0	0	0	0	3507	1	75c36619d	fix(tests): pass the CallerContext to calibrate_confidence_report in the #3521 default-arm sweep (#3
fix/3510-sqlite-integrity-partial-check	1-MERGED-ANCESTRY	0	373	2026-09-06	0	0	0	0	0	0	0	3510	1	e93566789	docs: state what the restore gate and the power-loss harness actually check (#3510)
fix/3511-delegation-stamp-and-test-pins	1-MERGED-ANCESTRY	0	402	2026-09-05	0	0	0	0	0	0	0	3511	1	65042897a	test(#3512): pin every base64 value arg against a leading `-` and `_`
fix/3515-federation-hook-state-isolation	1-MERGED-ANCESTRY	0	375	2026-09-06	0	0	0	0	0	0	0	3515	1	3fa0c8147	test(federation): seed the wire-action gate in the federation test fixtures so the quorum slice stop
fix/3517-agent-id-env-lock	1-MERGED-ANCESTRY	0	376	2026-09-06	0	0	0	0	0	0	0	3517	1	98668ea9e	test(#3517): guard six more env-first caller READERS in mcp::pending / mcp::promote
fix/3519-pg-bootstrap-lock-wait-rebased	1-MERGED-ANCESTRY	0	377	2026-09-06	0	0	0	0	0	0	0	3519	1	81f508518	fix(postgres): poll pg_try_advisory_lock so a migration waiter never pins a snapshot (#3519)
fix/3521-coverage-floors	1-MERGED-ANCESTRY	0	375	2026-09-06	0	0	0	0	0	0	0	3521	1	5da4de1e4	test(coverage): restore the five breached per-module floors, lift the three canaries (#3521)
fix/3522-refresher-unit-wal-paths	1-MERGED-ANCESTRY	0	364	2026-09-06	0	0	0	0	0	0	0	3522	1	33bbee2ec	fix(wake-client): read the delegation bundle from the descriptor its permissions were proven on (#35
fix/3525-pg-connect-reprobe	1-MERGED-ANCESTRY	0	371	2026-09-06	0	0	0	0	0	0	0	3525	1	9bc0aced7	fix(pg): bound the migration-lock probe overshoot to a fraction of the wait (#3525)
fix/3526-rollback-priority-claims-truth	1-MERGED-ANCESTRY	0	276	2026-09-08	0	0	0	0	0	0	0	3526	1	264d501d1	test(autonomy): pin the rollback priority reversal on both twins and both backends (#3526)
fix/3527-audit-chain-append-race	1-MERGED-ANCESTRY	0	370	2026-09-06	0	0	0	0	0	0	0	3527	1	e2265d371	test(store/postgres): deterministically provoke the chain-append race (#3527)
fix/3529-api-key-followups	1-MERGED-ANCESTRY	0	350	2026-09-07	0	0	0	0	0	0	0	3529	1	d2f274221	fix(store/postgres): gate the revoke_unless_last wrapper for the #3175 B8 scan (#3529)
fix/3532-wake-hub-subscribe-ack	1-MERGED-ANCESTRY	0	345	2026-09-07	0	0	0	0	0	0	0	3532	1	756323685	docs(#3532): the subscribe acknowledgement, in the protocol and client sections
fix/3535-api-key-deputy-advisories	1-MERGED-ANCESTRY	0	271	2026-09-08	0	0	0	0	0	0	0	3535	1	b0b42ccdf	docs(agent-api-key): state the 2N bound of the FIXED-window mint rate limit (#3535 advisory 4)
fix/3537-hardcoded-literals-awk-portable	1-MERGED-ANCESTRY	0	277	2026-09-08	0	0	0	0	0	0	0	3537	1	c5d97e920	fix(ci-gate): make check-hardcoded-literals.sh locale/awk-portable (#3537)
fix/3538-ci-once-leg-budget	1-MERGED-ANCESTRY	0	277	2026-09-08	0	0	0	0	0	0	0	3538	1	48403cca9	ci(#3538): raise the once leg's job cap to 75 min and the hosted-sqlite watchdog to 2100 s — the FUL
fix/3540-wake-hub-delegate-bound-at	1-MERGED-ANCESTRY	0	247	2026-09-08	0	0	0	0	0	0	0	3540	1	8edbe4e92	style(#3540): cargo fmt --all
fix/3541-cloud-init-ascii-portable	1-MERGED-ANCESTRY	0	245	2026-09-08	0	0	0	0	0	0	0	3541	1	b98dda3c3	fix: make cloud-init ASCII gate portable (#3541)
